alloy,Fe,Ni,Co,Cr,V,Cu,VEC,AR1,AR2,PE,Density,TermalC,MP,FI,SI,TI,M,TEC,TC,MS,MagS
Fe-Ni,1.0,0.0,0.0,0.0,0.0,0.0,8.0,140.0,124.0,1.83,7874.0,80.0,1181.0,762.47,1562.98,2957.4,2.22,11.92,1042.99998248219,2.21999999999015,0.00670898
,0.95,0.05,0.0,0.0,0.0,0.0,8.095379039668252,139.76155240082934,124.04768951983411,1.8338151615867297,7923.310963508486,80.52458471817539,1207.0861673492668,761.2620244626015,1572.0433932444755,2978.2689338794135,2.142742977868715,11.17,1029.06490297893,2.17920714515845,0.0165760095495175
,0.9,0.1,0.0,0.0,0.0,0.0,8.19122315017412,139.5219421245647,124.09561157508706,1.837648926006965,7972.862368640021,81.05172732595766,1233.2995315726216,760.0481588030449,1581.1509798452958,2999.2396252580975,2.0651092483589633,10.82,1015.87378511045,2.14059212725484,0.0250627281985936
,0.85,0.15,0.0,0.0,0.0,0.0,8.287535741378303,139.28116064655424,124.14376787068915,1.8415014296551322,8022.655978292583,81.58144657758068,1259.6410252669662,758.8283598354437,1590.3030838244733,3020.3128202135726,1.9870960494835734,9.91,1002.94068830535,2.10273242819637,0.0253667485106391
,0.8,0.2,0.0,0.0,0.0,0.0,8.3843202565576,139.039199358606,124.1921601282788,1.8453728102623042,8072.693572640279,82.11376141106679,1286.1115901685034,757.6025839506981,1599.5000323793859,3041.4892721348033,1.9087005921883442,11.09,989.844585380156,2.06439555421452,0.0232038305452076
,0.75,0.25,0.0,0.0,0.0,0.0,8.481580172815233,138.79604956796192,124.24079008640763,1.8492632069126094,8122.976949345475,82.64869095048378,1312.7121772649662,756.3707871112952,1608.7421559217676,3062.769741811973,1.829920060019662,13.6,976.20458256629,2.02446649622058,0.0214133068353034
,0.7,0.3,0.0,0.0,0.0,0.0,8.57931900149727,138.55170249625684,124.28965950074863,1.8531727600598908,8173.507923774088,83.18625450823498,1339.4437469095033,755.1329248460371,1618.029788117278,3084.154997527603,1.7507516087872115,12.1,961.65800590036,1.9818835810409,0.0195693265212871
,0.67,0.33,0.0,0.0,0.0,0.0,8.638193650356103,138.40451587410976,124.31909682517806,1.855527746014244,8203.946117234105,83.51006507695857,1355.545963372394,754.38727741824,1623.6243516250888,3097.0367706979155,1.703063143211558,3.5,474.993859782004,1.61164104324599,0.0418134791655139
,0.64,0.36,0.0,0.0,0.0,0.0,8.697242755565851,138.25689311108536,124.3486213777829,1.857889710222634,8234.474504627544,83.83483515561217,1371.6958936472604,753.6394205007584,1629.2354928476448,3109.9567149178083,1.6552333679916598,1.34,527.267214786412,1.64151092879822,0.0377005039390719
,0.635,0.365,0.0,0.0,0.0,0.0,8.707101288595242,138.2322467785119,124.35355064429761,1.8582840515438095,8239.57136620374,83.88905708727383,1374.3922024307985,753.5145621799412,1630.1722999487629,3112.113761944639,1.647247956237854,1.3,535.743097013962,1.64475206485717,0.0370465535526916
,0.63,0.37,0.0,0.0,0.0,0.0,8.716964692803028,138.20758826799243,124.3584823464015,1.858678587712121,8244.670746179165,83.94330581041665,1377.0898434816281,753.3896421656497,1631.1095699336076,3114.2718747853023,1.6392585988295476,1.5,544.148564752906,1.64754991087912,0.0363653012015506
,0.6,0.4,0.0,0.0,0.0,0.0,8.776247615274752,138.05938096181313,124.38812380763738,1.86104990461099,8275.320017097047,84.26936188401113,1393.3037227776445,752.6388239525453,1636.7429296414832,3127.2429782221157,1.5912394316274512,4.07,593.04142400418,1.65598623290394,0.0326032347128136
,0.55,0.45,0.0,0.0,0.0,0.0,8.875444598111176,137.81138850472206,124.4377222990556,1.8650177839244473,8326.60485722348,84.81494528961147,1420.434097583407,751.382494164922,1646.1691229355147,3148.9472780667256,1.5108898755299474,7.11,668.160960071074,1.64450517050451,0.027100428667007
,0.5,0.5,0.0,0.0,0.0,0.0,8.97513488973092,137.5621627756727,124.48756744486546,1.869005395589237,8378.144737990886,85.36324189352007,1447.6993923414063,750.1199166215579,1655.6421928966806,3170.759513873125,1.430140739317956,9.68,734.341525826352,1.60928660625519,0.0222906885277907
,0.4,0.6,0.0,0.0,0.0,0.0,9.176010192298918,137.0599745192527,124.58800509614946,1.8770404076919567,8481.99726941854,86.46805605764405,1502.638787593754,747.5758309145342,1674.7303685232046,3214.7110300750032,1.2674317442378764,11.28,835.222837915413,1.48213352699587,0.0144173896740838
,0.3,0.7,0.0,0.0,0.0,0.0,9.37890348046011,136.5527412988497,124.68945174023004,1.8851561392184042,8586.893099397876,87.5839691425306,1558.13010190584,745.0061874199727,1694.010303230722,3259.104081524672,1.1030881808273103,12.24,886.027688200026,1.2748096058432,0.00894551152230938
,0.2,0.8,0.0,0.0,0.0,0.0,9.583845316637891,136.04038670840526,124.79192265831894,1.8933538126655158,8692.84802870179,88.71114924150841,1614.1816941004636,742.4105990647812,1713.4849012135155,3303.9453552803707,0.9370852935233078,12.27,876.5490041397,0.983295163895239,0.00584310110859727
,0.1,0.9,0.0,0.0,0.0,0.0,9.790866883544926,135.5228327911377,124.89543344177245,1.901634675341797,8799.878178792727,89.84976785949709,1670.8020926495374,739.7886709199036,1733.1571256088566,3349.24167411963,0.7693978243286097,12.89,796.002986265539,0.665865965545586,0.00525881399975852
,0.0,1.0,0.0,0.0,0.0,0.0,10.0,135.0,125.0,1.91,8908.0,91.0,1728.0,737.14,1753.03,3395.0,0.6,12.76,633.0003999963,0.519999999994817,0.00526035
Fe-Co,0.91,0.0,0.09,0.0,0.0,0.0,8.085688230243655,139.5715588487817,124.08568823024366,1.8342844115121828,7961.916124229991,81.71376460487309,1231.2989911530256,762.2926253633957,1570.2986317451107,2980.955694493981,2.177155884878173,11.16,1122.46233939025,2.31694582911216,0.0131982692205341
,0.802,0.0,0.198,0.0,0.0,0.0,8.18959209881434,139.0520395059283,124.18959209881433,1.839479604940717,8068.521493383512,83.79184197628679,1292.2905620040171,762.0775443554543,1579.1730611597327,3009.518867964062,2.12520395059283,10.09,1209.59670027248,2.40173075968156,0.0238368365432652
,0.703,0.0,0.297,0.0,0.0,0.0,8.285886718846418,138.57056640576792,124.28588671884643,1.8442943359423212,8167.319773536425,85.71773437692836,1348.8155039628473,761.878214491988,1587.3975846566727,3035.9902590108804,2.0770566405767914,9.71,1280.07926377379,2.4427944821065,0.02442725602412
,0.654,0.0,0.346,0.0,0.0,0.0,8.33392412681256,138.3303793659372,124.33392412681258,1.846696206340628,8216.606154109688,86.67848253625121,1377.013462438973,761.778777057498,1591.5004596710608,3049.1957424607726,2.0530379365937197,9.75,1311.01562108721,2.44826574354654,0.0239736445979003
,0.604,0.0,0.396,0.0,0.0,0.0,8.383201555248027,138.08399222375988,124.38320155524804,1.8491600777624015,8267.164795684475,87.66403110496054,1405.9393129305918,761.6767727806366,1595.7092448337341,3062.7421075376833,2.0283992223759872,9.58,1338.36114752084,2.44354549574688,0.0234362709906543
,0.506,0.0,0.494,0.0,0.0,0.0,8.48055422278416,137.59722888607917,124.48055422278415,1.8540277111392078,8367.048632576549,89.61108445568323,1463.0853287743025,761.4752527588366,1604.024136167995,3089.504355843366,1.979722888607919,9.33,1381.78488365059,2.40776513184801,0.0217477641770279
,0.407,0.0,0.593,0.0,0.0,0.0,8.57994801776532,137.1002599111734,124.57994801776532,1.858997400888266,8469.026666227217,91.59896035530639,1521.4294864282424,761.2695076032257,1612.5133601973357,3116.8277100836863,1.9300259911173403,9.55,1414.58654121676,2.33963631470062,0.0195761881161689
,0.308,0.0,0.692,0.0,0.0,0.0,8.680411811345369,136.59794094327313,124.68041181134535,1.8640205905672684,8572.102518440348,93.6082362269074,1580.4017332597318,761.061547550515,1621.093972807008,3144.4452069388417,1.8797940943273148,9.98,1439.04641595682,2.2368914999282,0.0172867497086244
,0.258,0.0,0.742,0.0,0.0,0.0,8.731563266528845,136.34218366735576,124.73156326652884,1.8665781633264422,8624.583911458596,94.63126533057692,1610.4276374524327,760.9556640382852,1625.4628185942288,3158.5067419687803,1.854218366735577,10.53,1448.80277124424,2.16661893376563,0.0160650822510788
,0.219,0.0,0.781,0.0,0.0,0.0,8.771655404358205,136.14172297820897,124.77165540435821,1.86858277021791,8665.718444871516,95.43310808716407,1633.9617223582654,760.8726733129786,1628.8870880862344,3169.52807065807,1.8341722978208983,11.45,1455.13404800664,2.09952271754963,0.0150325947620284
,0.209,0.0,0.791,0.0,0.0,0.0,8.781962975225946,136.09018512387027,124.78196297522594,1.8690981487612972,8676.29401258182,95.63925950451892,1640.0122664576304,760.8513366412823,1629.767457714048,3172.3616218896127,1.8290185123870268,11.67,1456.5496914393,2.08020022304432,0.0148452959096917
,0.189,0.0,0.811,0.0,0.0,0.0,8.802611961246907,135.98694019376546,124.80261196124691,1.8701305980623453,8697.479872239326,96.05223922493815,1652.1332212519346,760.8085932402188,1631.5310876100984,3178.038028146775,1.8186940193765462,11.8,1209.89656548882,1.87494227884549,0.0449517317620829
,0.159,0.0,0.841,0.0,0.0,0.0,8.83367032926304,135.83164835368478,124.83367032926304,1.8716835164631518,8729.34575782388,96.6734065852608,1670.3644832774046,760.7443024184255,1634.1837828223563,3186.5759735144097,1.8031648353684797,11.73,1250.96062182904,1.8013815916563,0.0428349398364828
,0.1,0.0,0.9,0.0,0.0,0.0,8.895050735658138,135.52474632170933,124.89505073565815,1.8747525367829072,8792.32205478525,97.9010147131628,1706.3947818313277,760.6172449771877,1639.4262833325618,3203.4494472324227,1.7724746321709308,11.67,1320.22236002949,1.641891107416,0.0438445256613929
,0.061,0.0,0.939,0.0,0.0,0.0,8.935843353196258,135.32078323401868,124.93584335319623,1.8767921676598127,8834.175280379362,98.71686706392518,1730.3400483262042,760.5328042588836,1642.9103807964923,3214.6633377936514,1.7520783234018698,11.8,1356.54063241095,1.52943336076349,0.0408999498197727
,0.041,0.0,0.959,0.0,0.0,0.0,8.95683073818426,135.2158463090787,124.95683073818427,1.8778415369092127,8855.70833737705,99.13661476368519,1742.6596433141603,760.4893603719586,1644.7029133483177,3220.4327699268533,1.7415846309078704,12.52,1391.77883532317,1.41817449505351,0.0272074723748163
